# Down sampled to 1000 coordinates
X,Y,Z
19418.627320691092,-327.004915341719,17.261123112789743
2537.9949399453244,-1491.178639383069,6314.259055029153
-1851.553131377728,774.1935817053165,-13255.746123925015
9878.0172647608,-9369.371678468493,5125.280958964238
-2040.1566566950246,-5381.40122864025,-2817.388924089538
-1452.0366843282611,13089.852817801853,1332.1234569954195
-6145.018959280803,-9337.75754285715,-12954.564713547687
-928.8204561792894,5377.21308121859,4124.37277822119
-4746.959778491049,-9707.705653845842,-862.8710411410267
1182.806151300683,7213.456563638562,-6462.459109696133
8993.939225036647,2486.363170360687,-7901.679339328052
-8071.6610701433365,-2892.3800823372335,-9296.981482033769
-9727.55054098211,2619.6839192270277,1285.3235859786491
-6796.281667961809,1648.2314283602807,-3414.7014510826584
-5812.849850832414,3199.9069317550284,-1060.5229208539347
13724.813881246888,204.7676498780782,-1145.0360219470094
-9831.46535208863,-1580.7881310024206,782.6426125311461
-4516.694803588757,1669.0725550128418,581.6410802041182
6606.735751305398,10970.985490748259,-84.08838993841348
36988.85620209963,-19638.215872251272,-1892.2890871626262
7765.404674147922,-19802.16120519794,2922.6242505156824
46099.20051129513,1139.161224456655,1854.0730503079817
-12096.24223514608,1083.35041807135,1870.077036039581
11458.330173381417,268.99820070248506,-1221.1409051508017
4779.839463197544,-8523.279927273566,6370.988643055235
3418.357869478428,1877.7340864918742,4253.730044904379
-11396.01028229769,414.26958383513414,-973.0072988203086
18630.37114863918,-3383.7329427485743,3481.6275633259916
65727.6876788684,-2843.298493860417,-4839.880684640194
-1312.796879769438,8163.154636407422,-11404.139492445984
9638.830618651129,10963.876308116713,10541.23165916126
29317.180591839104,7578.865351126626,4899.093697983831
-1603.0431382280576,-3994.219585402923,-8028.373298151212
23929.66537843561,11632.653570550776,-7148.669883871466
17767.18119036368,15660.156110181873,6274.731034856586
-9817.703221075797,-3213.2844293808325,-4677.259874581438
-7696.1899108186535,3814.810629922823,-6585.5744131726315
733.8001445211265,3285.8943089762756,-4074.380312394695
1541.5057131238666,-12238.948254947727,-768.2939182681312
22089.476943682363,18519.7752000501,5293.298958146553
-290.74527256989103,-4162.944366890414,1986.2465568200096
44008.009067967614,-5651.148720949365,6127.1189527207935
-4100.518010505206,1545.758725608308,3542.346757233905
-7878.073982533794,1570.3377815332076,422.1421138915322
8298.24017190216,-8714.933175241387,-1502.673636686918
6186.9112245767365,-3299.9186957218326,-3957.1755144733675
