# Down sampled to 2000 coordinates
X,Y,Z
17193.894356111985,6311.2466830095655,-2404.785615045974
38675.32456773791,-6441.581850399315,-3280.063143688359
8225.14076045825,550.1266782388102,2420.3838477891954
17435.687292023515,-7098.04336479182,829.2238347416475
8713.758579143408,-2992.776022086172,-7687.608267318807
17143.333648976815,5215.94504305617,74.30601774882527
8621.421750085652,2549.349895586639,-10035.944708189489
13897.31412863483,7110.019774124474,3845.273288452754
29311.53506704857,5251.366820017591,-1775.0726241699092
8908.602218025117,-4417.924008790415,-6820.750132866075
7245.283247981875,1422.015896199446,220.34639166047265
8985.333952575134,-3.8402969385862646,-4996.604504845233
15416.915131815898,-2625.759898252445,-7369.859910860906
22298.695964103856,4016.670230595444,-4138.585057353651
15309.227535904296,1564.413871978275,1814.7282497713409
17023.662916034555,-6967.053531080121,-828.4139929184903
22513.39314209913,-13381.564347385824,3194.20826860006
36700.38067881575,1118.3871861469986,-408.2954891806796
29726.06956271987,5074.808046097845,-2622.0533240064788
9609.571862842868,4848.166420486398,-9051.497995993184
16311.60244974254,12106.81778366168,-2630.433409881606
28422.56703137923,10046.839474196478,1919.0394163762223
13287.055104827496,-5469.878137325501,-12189.107782193529
8933.897759391677,-901.4541812094304,-454.1798115379
41371.37941589593,-15367.424877542224,698.8574126669122
34452.91172529899,-5348.14003827548,-6760.553570827219
27367.812732648024,199.59308407532492,-5222.566084003884
30464.3049110055,-4700.178595801591,-4329.782195518159
55840.06298696692,21376.999057168592,4666.342870397543
6753.086614203053,2045.252684512516,-1859.1467637798844
8995.525507694665,4238.849704180777,-6147.411370507112
8351.194428542456,3973.152451237782,-12162.442491929756
13520.813715421677,-1353.1896757718946,-3330.6769931417907
8628.006153155073,4899.100239877655,-8276.574789709986
11226.223888738696,6650.6229558608575,-8804.715451046957
36623.34643370951,2386.432865834276,-5871.347296781496
5504.362990601221,-474.4911862013403,-3894.4197634922816
27462.301254734528,2700.2158198346,-2472.8677056788524
16608.812759442113,15390.021901730768,-15543.05858478841
46992.61339703445,-7485.43233847046,-689.8496857698738
12256.139986755612,-1131.681482787392,5574.576782648506
31039.324991370173,-1381.6494687125887,-2900.2406875436486
11149.625428074594,7433.265759353401,-9094.314632440028
13556.530210288334,6165.119655864301,-5848.36881487228
15263.264879107614,2647.019743447722,-7858.588582015303
15033.50192756619,-1331.4041424460042,-3205.5035464736925
27059.370939790235,5003.313325671961,-4383.249056692881
8526.074987590977,3869.467922083253,-6187.4303976113
10686.491262976104,2221.427644685303,-4672.5786155888745
12241.368125507724,-217.6950323267408,2768.5932355715004
9117.527291479655,-1731.1072391055602,-1942.1933916201565
11960.77626189283,8496.285943574085,-10185.240440024629
44028.40206021854,-1793.3332548843005,-2021.5885997284408
12506.261341882955,3318.1717849521287,-2815.680099336901
22737.33167988019,1032.6172067123164,9684.420557102654
12406.630001574526,3924.650613454865,4423.899864740691
19379.01943868285,9511.4350544372,-1842.0523455248529
24251.32656142305,-1990.8543669107453,-5395.480136403232
